Equipo Local,Goles como Local,Equipo Visitante,Goles como Visitante
Ajax,55,Ajax,21
Atalanta,11,Atalanta,7
Atlético,0,Atlético,0
Barcelona,154,Barcelona,91
Bayern,108,Bayern,30
Benfica,51,Benfica,35
Besiktas,0,Besiktas,0
Chelsea,102,Chelsea,87
Club Brugge,0,Club Brugge,0
Dortmund,48,Dortmund,14
Dynamo Kyiv,0,Dynamo Kyiv,0
Internazionale,54,Internazionale,38
Juventus,92,Juventus,50
Leipzig,13,Leipzig,19
Liverpool,86,Liverpool,42
LOSC,15,LOSC,3
Malmö,3,Malmö,2
Man. City,48,Man. City,6
Man. United,122,Man. United,29
Milan,91,Milan,68
Paris,35,Paris,13
Porto,48,Porto,41
Real Madrid,162,Real Madrid,99
Salzburg,0,Salzburg,0
Sevilla,38,Sevilla,35
Shakhtar Donetsk,64,Shakhtar Donetsk,41
Sheriff,0,Sheriff,0
Sporting CP,14,Sporting CP,3
Villarreal,2,Villarreal,3
Wolfsburg,0,Wolfsburg,0
Young Boys,5,Young Boys,0
Zenit,18,Zenit,9
